coach_id;coach_url;short_name;long_name;dob;nationality_name
5097;/coach/5097/robbie-neilson/;R. Neilson;Robbie Neilson;19.06.1980;Scotland
5125;/coach/5125/david-gray/;D. Gray;David Gray;04.05.1988;Scotland
5159;/coach/5159/joao-miguel-da-cunha-teixeira/;Moreno;Jo?o Miguel da Cunha Teixeira;19.08.1981;Portugal
5224;/coach/5224/ruben-zadkovich/;R. Zadkovich;Ruben Zadkovich;23.05.1986;Australia
6711;/coach/6711/kevin-maher/;K. Maher;Kevin Maher;17.10.1976;Republic of Ireland
7016;/coach/7016/nathan-jones/;N. Jones;Nathan Jones;28.05.1973;Wales
7101;/coach/7101/steven-schumacher/;S. Schumacher;Steven Schumacher;30.04.1984;England
7464;/coach/7464/matt-bloomfield/;M. Bloomfield;Matt Bloomfield;08.02.1984;England
8170;/coach/8170/ryan-lowe/;R. Lowe;Ryan Lowe;18.09.1978;England
9054;/coach/9054/terry-dunfield/;T. Dunfield;Terry Dunfield;20.02.1982;Canada
9882;/coach/9882/graham-coughlan/;G. Coughlan;Graham Coughlan;18.11.1974;Republic of Ireland
9954;/coach/9954/michael-david-jackson/;M. Jackson;Michael David Jackson;14.12.1979;England
10127;/coach/10127/paul-heckingbottom/;P. Heckingbottom;Paul Heckingbottom;17.07.1977;England
10249;/coach/10249/lee-bell/;L. Bell;Lee Bell;26.01.1983;England
10629;/coach/10629/kevin-nicholson/;K. Nicholson;Kevin Nicholson;02.10.1980;England
10631;/coach/10631/chris-hargreaves/;C. Hargreaves;Chris Hargreaves;05.12.1972;England
11018;/coach/11018/dino-maamria/;D. Maamria;Dino Maamria;26.05.1971;England
15322;/coach/15322/scott-lindsey/;S. Lindsey;Scott Lindsey;04.05.1972;England
16436;/coach/16436/daryl-mcmahon/;D. McMahon;Daryl McMahon;10.10.1982;Republic of Ireland
20284;/coach/20284/darren-kelly/;D. Kelly;Darren Kelly;30.06.1979;Northern Ireland
22909;/coach/22909/gabriel-francisco-garcia-de-la-torre/;G. García de la Torre;Gabriel Francisco García de la Torre;10.02.1979;Spain
23029;/coach/23029/phillip-cocu/;P. Cocu;Phillip Cocu;29.10.1970;Netherlands
23174;/coach/23174/jon-dahl-tomasson/;J. Dahl Tomasson;Jon Dahl Tomasson;29.08.1976;Denmark
23180;/coach/23180/arne-slot/;A. Slot;Arne Slot;17.09.1978;Netherlands
23237;/coach/23237/giovanni-van-bronckhorst/;G. van Bronckhorst;Giovanni van Bronckhorst;05.02.1975;Netherlands
23247;/coach/23247/stephan-keller/;S. Keller;Stephan Keller;31.05.1979;Switzerland
23316;/coach/23316/danny-buijs/;D. Buijs;Danny Buijs;21.06.1982;Netherlands
23395;/coach/23395/rick-kruijs/;R. Kruijs;Rick Kruijs;09.05.1985;Netherlands
23435;/coach/23435/alfred-schreuder/;A. Schreuder;Alfred Schreuder;11.02.1972;Netherlands
23440;/coach/23440/sinan-kaloglu/;S. Kaloglu;Sinan Kaloglu;10.06.1981;Turkey
23707;/coach/23707/rogier-meijer/;R. Meijer;Rogier Meijer;05.09.1981;Netherlands
23716;/coach/23716/kevin-hofland/;K. Hofland;Kevin Hofland;06.07.1979;Netherlands
23836;/coach/23836/patrick-kluivert/;P. Kluivert;Patrick Kluivert;07.01.1976;Netherlands
23990;/coach/23990/arnar-vidharsson/;A. Vi?arsson;Arnar Vi?arsson;15.03.1978;Iceland
24118;/coach/24118/hernan-pablo-losada/;H. Losada;Hernán Pablo Losada;09.05.1982;Argentina
24381;/coach/24381/mark-van-bommel/;M. van Bommel;Mark van Bommel;22.04.1977;Netherlands
29535;/coach/29535/bo-svensson/;B. Svensson;Bo Svensson;04.08.1979;Denmark
29560;/coach/29560/miroslav-klose/;M. Klose;Miroslav Klose;09.06.1978;Germany
29582;/coach/29582/pal-dardai/;P. Dárdai;Pál Dárdai;16.03.1976;Hungary
29608;/coach/29608/ludovic-magnin/;L. Magnin;Ludovic Magnin;20.04.1979;Switzerland
29612;/coach/29612/alexander-frei/;A. Frei;Alexander Frei;15.07.1979;Switzerland
29621;/coach/29621/thomas-brdaric/;T. Brdariæ;Thomas Brdariæ;23.01.1975;Germany
29676;/coach/29676/steffen-baumgart/;S. Baumgart;Steffen Baumgart;05.01.1972;Germany
29710;/coach/29710/marco-rose/;M. Rose;Marco Rose;11.09.1976;Germany
29740;/coach/29740/timo-rost/;T. Rost;Timo Rost;29.08.1978;Germany
29838;/coach/29838/steven-cherundolo/;S. Cherundolo;Steven Cherundolo;19.02.1979;United States
29839;/coach/29839/christoph-dabrowski/;C. Dabrowski;Christoph Dabrowski;01.07.1978;Germany
29842;/coach/29842/cristian-ramon-fiel-casanova/;C. Fiél Casanova;Cristian Ramon Fiél Casanova;12.03.1980;Spain
30044;/coach/30044/christian-eichner/;C. Eichner;Christian Eichner;24.11.1982;Germany
30314;/coach/30314/matthias-jaissle/;M. Jaissle;Matthias Jaissle;05.04.1988;Germany
30333;/coach/30333/bradley-carnell/;B. Carnell;Bradley Carnell;21.01.1977;South Africa
30462;/coach/30462/cagdas-atan/;Ç. Atan;Çagdas Atan;29.02.1980;Turkey
30572;/coach/30572/alexander-voigt/;A. Voigt;Alexander Voigt;13.04.1978;Germany
30963;/coach/30963/ruud-van-nistelrooy/;R. van Nistelrooy;Ruud van Nistelrooy;07.01.1976;Netherlands
30996;/coach/30996/sandro-wagner/;S. Wagner;Sandro Wagner;29.11.1987;Germany
31151;/coach/31151/timo-schultz/;T. Schultz;Timo Schultz;26.08.1977;Germany
31205;/coach/31205/jonas-de-roeck/;J. De Roeck;Jonas De Roeck;20.12.1979;Belgium
31312;/coach/31312/ovidiu-nicusor-burca/;O. Burca;Ovidiu Nicusor Burca;16.03.1980;Romania
32849;/coach/32849/dino-toppmoller/;D. Toppmöller;Dino Toppmöller;23.11.1980;Germany
33148;/coach/33148/rudiger-ziehl/;R. Ziehl;Rüdiger Ziehl;26.10.1977;Germany
33182;/coach/33182/stefan-leitl/;S. Leitl;Stefan Leitl;29.08.1977;Germany
33212;/coach/33212/daniel-thioune/;D. Thioune;Daniel Thioune;21.07.1974;Germany
33525;/coach/33525/jacques-abardonado/;J. Abardonado;Jacques Abardonado;25.05.1978;France
35399;/coach/35399/marcel-rapp/;M. Rapp;Marcel Rapp;16.04.1979;Germany
35468;/coach/35468/alparslan-erdem/;A. Erdem;Alparslan Erdem;11.12.1988;Turkey
35472;/coach/35472/tobias-schweinsteiger/;T. Schweinsteiger;Tobias Schweinsteiger;12.03.1982;Germany
35513;/coach/35513/sreto-ristic/;S. Ristic;Sreto Ristic;02.07.1976;Serbia
35564;/coach/35564/mersad-selimbegovic/;M. Selimbegovic;Mersad Selimbegovic;29.04.1982;Bosnia and Herzegovina
35571;/coach/35571/alexander-blessin/;A. Blessin;Alexander Blessin;28.05.1973;Germany
36891;/coach/36891/michael-schiele/;M. Schiele;Michael Schiele;03.03.1978;Germany
37679;/coach/37679/fabian-hurzeler/;F. Hürzeler;Fabian Hürzeler;26.02.1993;United States
38217;/coach/38217/sebastian-hoeness/;S. Hoeneß;Sebastian Hoeneß;12.05.1982;Germany
38226;/coach/38226/dario-fossi/;D. Fossi;Dario Fossi;21.05.1981;Italy
38879;/coach/38879/sargon-duran/;S. Duran;Sargon Duran;31.01.1987;Austria
38927;/coach/38927/enrico-maassen/;E. Maaßen;Enrico Maaßen;10.03.1984;Germany
39105;/coach/39105/jan-zimmermann/;J. Zimmermann;Jan Zimmermann;05.10.1979;Germany
39433;/coach/39433/michel-kniat/;M. Kniat;Michél Kniat;18.11.1985;Germany
45305;/coach/45305/pellegrino-matarazzo/;P. Matarazzo;Pellegrino Matarazzo;28.11.1977;United States
51306;/coach/51306/ferdinand-feldhofer/;F. Feldhofer;Ferdinand Feldhofer;23.10.1979;Austria
51400;/coach/51400/joachim-standfest/;J. Standfest;Joachim Standfest;30.05.1980;Austria
51459;/coach/51459/mattias-lindstrom/;M. Lindström;Mattias Lindström;18.04.1980;Sweden
51518;/coach/51518/oliver-glasner/;O. Glasner;Oliver Glasner;28.08.1974;Austria
60268;/coach/60268/adnan-custovic/;A. Èustoviæ;Adnan Èustoviæ;16.04.1978;Bosnia and Herzegovina
60303;/coach/60303/ivan-leko/;I. Leko;Ivan Leko;07.02.1978;Croatia
60307;/coach/60307/karel-geraerts/;K. Geraerts;Karel Geraerts;05.01.1982;Belgium
60361;/coach/60361/mbaye-leye/;M. Leye;M'Baye Leye;01.12.1982;Senegal
60374;/coach/60374/vincent-euvrard/;V. Euvrard;Vincent Euvrard;12.03.1982;Belgium
60393;/coach/60393/ivan-vukomanovic/;I. Vukomanovic;Ivan Vukomanovic;19.06.1977;Serbia
60851;/coach/60851/wim-de-decker/;W. De Decker;Wim De Decker;06.04.1982;Belgium
62986;/coach/62986/luis-garcia-fernandez/;L. García Fernández;Luis García Fernández;06.02.1981;Spain
74546;/coach/74546/sergej-jakirovic/;S. Jakiroviæ;Sergej Jakiroviæ;23.12.1976;Bosnia and Herzegovina
77126;/coach/77126/dan-alexa/;D. Alexa;Dan Alexa;28.10.1979;Romania
79289;/coach/79289/marcel-liczka/;M. Liczka;Marcel Liczka;17.07.1977;Czech Republic
82956;/coach/82956/henrik-hansen/;H. Hansen;Henrik Hansen;28.07.1979;Denmark
82974;/coach/82974/brian-priske-pedersen/;B. Priske Pedersen;Brian Priske Pedersen;14.05.1977;Denmark
84240;/coach/84240/martin-thomsen/;M. Thomsen;Martin Thomsen;06.08.1982;Denmark
90958;/coach/90958/toni-koskela/;T. Koskela;Toni Koskela;16.02.1983;Finland
94064;/coach/94064/laurent-batlles/;L. Batlles;Laurent Batlles;23.09.1975;France
94105;/coach/94105/cristiano-marques-gomes/;C. Marques Gomes;Cristiano Marques Gomes;03.06.1977;Brazil
94233;/coach/94233/vincent-hognon/;V. Hognon;Vincent Hognon;16.08.1974;France
94328;/coach/94328/paulo-cesar-da-silva-peixoto/;P. da Silva Peixoto;Paulo César da Silva Peixoto;12.05.1980;Portugal
94341;/coach/94341/stephane-dumont/;S. Dumont;Stéphane Dumont;09.06.1982;France
94389;/coach/94389/olivier-echouafni/;O. Echouafni;Olivier Echouafni;13.09.1972;France
94575;/coach/94575/fabio-grosso/;F. Grosso;Fabio Grosso;28.11.1977;Italy
94983;/coach/94983/nicolas-rabuel/;N. Rabuel;Nicolas Rabuel;15.01.1978;France
95058;/coach/95058/luis-oscar-gonzalez/;L. González;Luis Oscar González;19.01.1981;Argentina
95070;/coach/95070/omar-daf/;O. Daf;Omar Daf;12.02.1977;Senegal
95212;/coach/95212/bruno-grougi/;B. Grougi;Bruno Grougi;26.04.1983;France
95726;/coach/95726/thiago-motta/;T. Motta;Thiago Motta;28.08.1982;Italy
95782;/coach/95782/adrian-mutu/;A. Mutu;Adrian Mutu;08.01.1979;Romania
97031;/coach/97031/alexandre-dujeux/;A. Dujeux;Alexandre Dujeux;01.08.1976;France
97208;/coach/97208/olivier-guegan/;O. Guégan;Olivier Guégan;20.08.1972;France
98545;/coach/98545/ande-dona-ndoh/;A. Dona N'Doh;Ande Dona N'Doh;22.05.1986;Cameroon
99512;/coach/99512/fabien-valeri/;F. Valeri;Fabien Valeri;06.09.1974;France
101150;/coach/101150/stephane-masala/;S. Masala;Stéphane Masala;30.08.1976;France
106189;/coach/106189/francisco-javier-munoz-llompart/;F. Mu?oz Llompart;Francisco Javier Mu?oz Llompart;05.09.1980;Spain
107256;/coach/107256/israel-alejandro-damonte/;I. Damonte;Israel Alejandro Damonte;06.01.1982;Argentina
107439;/coach/107439/enzo-maresca/;E. Maresca;Enzo Maresca;10.02.1980;Italy
107528;/coach/107528/washington-sebastian-abreu-gallo/;W. Abreu Gallo;Washington Sebastián Abreu Gallo;17.10.1976;Uruguay
107635;/coach/107635/nicolae-constantin-dica/;N. Dicã;Nicolae Constantin Dicã;09.05.1980;Romania
107983;/coach/107983/erol-bulut/;E. Bulut;Erol Bulut;30.01.1975;Turkey
108499;/coach/108499/aleksandar-vukovic/;A. Vukovic;Aleksandar Vukovic;25.08.1979;Serbia
108880;/coach/108880/vasco-manuel-vilhena-faisca-teixeira/;V. Faisca Teixeira;Vasco Manuel Vilhena Faisca Teixeira;27.08.1980;Portugal
109688;/coach/109688/diego-hernan-martinez/;D. Martínez;Diego Hernán Martínez;16.11.1978;Argentina
117955;/coach/117955/jacob-neestrup-hansen/;J. Neestrup Hansen;Jacob Neestrup Hansen;03.08.1988;Denmark
120141;/coach/120141/pavel-dochev/;P. Dochev;Pavel Dochev;28.09.1965;Bulgaria
120315;/coach/120315/ruaidhri-higgins/;R. Higgins;Ruaidhri Higgins;23.10.1984;Northern Ireland
120469;/coach/120469/john-russell/;J. Russell;John Russell;18.05.1985;Republic of Ireland
120550;/coach/120550/andrew-myler/;A. Myler;Andrew Myler;12.02.1975;Republic of Ireland
120666;/coach/120666/stephen-odonnell/;S. O'Donnell;Stephen O'Donnell;15.01.1986;Republic of Ireland
120668;/coach/120668/ian-ryan/;I. Ryan;Ian Ryan;09.06.1987;Republic of Ireland
120714;/coach/120714/gary-cronin/;G. Cronin;Gary Cronin;16.03.1979;Republic of Ireland
120775;/coach/120775/stephen-bradley/;S. Bradley;Stephen Bradley;19.11.1984;Republic of Ireland
121795;/coach/121795/tim-clancy/;T. Clancy;Tim Clancy;08.06.1984;Republic of Ireland
122306;/coach/122306/tommy-barrett/;T. Barrett;Tommy Barrett;20.05.1979;Republic of Ireland
126283;/coach/126283/mihai-doru-pintilii/;M. Pintilii;Mihai Doru Pintilii;09.11.1984;Romania
127492;/coach/127492/eugenio-corini/;E. Corini;Eugenio Corini;30.07.1970;Italy
127495;/coach/127495/filippo-inzaghi/;F. Inzaghi;Filippo Inzaghi;09.08.1973;Italy
127536;/coach/127536/mario-frick/;M. Frick;Mario Frick;07.09.1974;Liechtenstein
127593;/coach/127593/sebastiano-siviglia/;S. Siviglia;Sebastiano Siviglia;29.03.1973;Italy
127597;/coach/127597/dejan-stankovic/;D. Stankovic;Dejan Stankovic;09.11.1978;Serbia
127611;/coach/127611/lionel-sebastian-scaloni/;L. Scaloni;Lionel Sebastián Scaloni;16.05.1978;Argentina
127616;/coach/127616/paolo-zanetti/;P. Zanetti;Paolo Zanetti;16.12.1982;Italy
127617;/coach/127617/leonardo-colucci/;L. Colucci;Leonardo Colucci;29.12.1972;Italy
127755;/coach/127755/paolo-bianco/;P. Bianco;Paolo Bianco;20.08.1977;Italy
127771;/coach/127771/alberto-gilardino/;A. Gilardino;Alberto Gilardino;05.07.1982;Italy
127811;/coach/127811/andrea-soncin/;A. Soncin;Andrea Soncin;05.09.1978;Italy
127840;/coach/127840/fabio-caserta/;F. Caserta;Fabio Caserta;24.09.1978;Italy
127886;/coach/127886/luis-diego-lopez-breijo/;L. López Breijo;Luis Diego López Breijo;22.08.1974;Uruguay
127889;/coach/127889/roberto-de-zerbi/;R. De Zerbi;Roberto De Zerbi;06.06.1979;Italy
127965;/coach/127965/ivan-gennaro-gattuso/;I. Gattuso;Ivan Gennaro Gattuso;09.01.1978;Italy
127980;/coach/127980/ivan-juric/;I. Juric;Ivan Juric;25.08.1975;Croatia
127989;/coach/127989/andrea-pirlo/;A. Pirlo;Andrea Pirlo;19.05.1979;Italy
128013;/coach/128013/fabio-liverani/;F. Liverani;Fabio Liverani;29.04.1976;Italy
128120;/coach/128120/aimo-diana/;A. Diana;Aimo Diana;02.01.1978;Italy
128160;/coach/128160/simone-inzaghi/;S. Inzaghi;Simone Inzaghi;05.04.1976;Italy
128192;/coach/128192/daniele-gastaldello/;D. Gastaldello;Daniele Gastaldello;25.06.1983;Italy
128211;/coach/128211/christian-bucchi/;C. Bucchi;Christian Bucchi;13.02.1977;Italy
128261;/coach/128261/vincenzo-italiano/;V. Italiano;Vincenzo Italiano;10.12.1977;Italy
128295;/coach/128295/raffaele-palladino/;R. Palladino;Raffaele Palladino;17.04.1984;Italy
128311;/coach/128311/alessandro-agostini/;A. Agostini;Alessandro Agostini;23.07.1979;Italy
128419;/coach/128419/fabio-cannavaro/;F. Cannavaro;Fabio Cannavaro;13.09.1973;Italy
128470;/coach/128470/massimo-paci/;M. Paci;Massimo Paci;09.05.1978;Italy
128851;/coach/128851/fernando-ruben-gago/;F. Gago;Fernando Rubén Gago;10.04.1986;Argentina
130460;/coach/130460/william-viali/;W. Viali;William Viali;16.11.1974;Italy
130523;/coach/130523/gennaro-volpe/;G. Volpe;Gennaro Volpe;17.02.1981;Italy
130528;/coach/130528/fabio-pecchia/;F. Pecchia;Fabio Pecchia;24.08.1973;Italy
130911;/coach/130911/daniele-di-donato/;D. Di Donato;Daniele Di Donato;21.02.1977;Italy
130912;/coach/130912/michele-mignani/;M. Mignani;Michele Mignani;30.04.1972;Italy
131125;/coach/131125/edoardo-gorini/;E. Gorini;Edoardo Gorini;28.02.1974;Italy
131252;/coach/131252/roberto-daversa/;R. D'Aversa;Roberto D'Aversa;12.08.1975;Italy
133534;/coach/133534/gustavo-adolfo-munua-vera/;G. Munúa Vera;Gustavo Adolfo Munúa Vera;27.01.1978;Uruguay
134562;/coach/134562/marius-marian-croitoru/;M. Croitoru;Marius Marian Croitoru;02.10.1980;Romania
149815;/coach/149815/magnus-powell/;M. Powell;Magnus Powell;28.10.1974;Sweden
149978;/coach/149978/eirik-bakke/;E. Bakke;Eirik Bakke;13.09.1977;Norway
152113;/coach/152113/kevin-andrew-nicol/;K. Nicol;Kevin Andrew Nicol;19.01.1982;Scotland
152235;/coach/152235/eirik-horneland/;E. Horneland;Eirik Horneland;14.03.1975;Norway
153005;/coach/153005/bjarte-lunde-aarsheim/;B. Lunde Aarsheim;Bjarte Lunde Aarsheim;14.01.1975;Norway
153793;/coach/153793/wojciech-lobodzinski/;W. £obodziñski;Wojciech £obodziñski;20.10.1982;Poland
153980;/coach/153980/pavol-stano/;P. Stano;Pavol Stano;29.09.1977;Slovakia
154013;/coach/154013/maciej-stolarczyk/;M. Stolarczyk;Maciej Stolarczyk;15.01.1972;Poland
154225;/coach/154225/ivan-djurdjevic/;I. Djurdjevic;Ivan Djurdjevic;05.02.1977;Serbia
154313;/coach/154313/dariusz-dudek/;D. Dudek;Dariusz Dudek;08.04.1975;Poland
154708;/coach/154708/kamil-kuzera/;K. Kuzera;Kamil Kuzera;11.03.1983;Poland
156328;/coach/156328/adam-majewski/;A. Majewski;Adam Majewski;24.12.1973;Poland
158158;/coach/158158/ruben-filipe-marques-amorim/;R. Amorim;Ruben Filipe Marques Amorim;27.01.1985;Portugal
158416;/coach/158416/eduardo-godinho-felipe-de-souza/;E. Felipe de Souza;Eduardo Godinho Felipe de Souza;08.03.1981;Brazil
160758;/coach/160758/nelson-alexandre-da-silva-verissimo/;N. da Silva Veríssimo;Nelson Alexandre da Silva Veríssimo;17.04.1977;Portugal
163560;/coach/163560/marius-constantin-maldarasanu/;M. Mãldãrãºanu;Marius Constantin Mãldãrãºanu;19.04.1975;Romania
163593;/coach/163593/ilie-poenaru/;I. Poenaru;Ilie Poenaru;11.11.1976;Romania
163743;/coach/163743/mirel-matei-radoi/;M. Radoi;Mirel Matei Radoi;22.03.1981;Romania
164110;/coach/164110/abel-gomez-moreno/;A. Gómez Moreno;Abel Gómez Moreno;20.02.1982;Spain
166465;/coach/166465/george-anmare/;G. ?an?mare;George ?an?mare;24.06.1983;Romania
169214;/coach/169214/sergei-semak/;S. Semak;Sergei Semak;27.02.1976;Russia
169272;/coach/169272/roman-sharonov/;R. Sharonov;Roman Sharonov;08.09.1976;Russia
170857;/coach/170857/denis-popov/;D. Popov;Denis Popov;04.02.1979;Russia
171174;/coach/171174/evgeniy-kaleshin/;E. Kaleshin;Evgeniy Kaleshin;20.06.1978;Russia
171254;/coach/171254/aleksandr-storozhuk/;A. Storozhuk;Aleksandr Storozhuk;10.08.1981;Russia
171725;/coach/171725/scott-brown/;S. Brown;Scott Brown;25.06.1985;Scotland
171828;/coach/171828/jack-ross/;J. Ross;Jack Ross;05.06.1976;Scotland
171878;/coach/171878/steven-hammell/;S. Hammell;Steven Hammell;18.02.1982;Scotland
172638;/coach/172638/stuart-kettlewell/;S. Kettlewell;Stuart Kettlewell;04.06.1984;Scotland
173023;/coach/173023/alex-neil/;A. Neil;Alex Neil;09.06.1981;Scotland
184794;/coach/184794/sergio-gonzalez-soriano/;S. González Soriano;Sergio González Soriano;10.11.1976;Spain
184942;/coach/184942/xavier-hernandez-creus/;X. Hernández;Xavier Hernández Creus;25.01.1980;Spain
184988;/coach/184988/gabriel-alejandro-milito/;G. Milito;Gabriel Alejandro Milito;07.09.1980;Argentina
184993;/coach/184993/henok-goitom/;H. Goitom;Henok Goitom;16.09.1984;Eritrea
185049;/coach/185049/leandro-daniel-somoza/;L. Somoza;Leandro Daniel Somoza;26.01.1981;Argentina
185095;/coach/185095/ruben-baraja-vegas/;R. Baraja Vegas;Rubén Baraja Vegas;11.07.1975;Spain
185262;/coach/185262/joseba-andoni-etxeberria-lizardi/;J. Etxeberria Lizardi;Joseba Andoni Etxeberria Lizardi;05.09.1977;Spain
185336;/coach/185336/vicente-moreno-peris/;V. Moreno Peris;Vicente Moreno Peris;26.10.1974;Spain
185346;/coach/185346/javier-calleja-revilla/;J. Calleja Revilla;Javier Calleja Revilla;12.05.1978;Spain
185470;/coach/185470/javier-baraja-vegas/;J. Baraja Vegas;Javier Baraja Vegas;24.08.1980;Spain
186018;/coach/186018/miguel-angel-sanchez-munoz/;M. Sánchez;Miguel Ángel Sánchez Mu?oz;30.10.1975;Spain
