club;budget_GBP;budget_USD;budget_EUR
Estoril;?2,75m;$3,26m;3,19m€
Ettifaq FC;?6,49m;$7,69m;7,54m€
Eupen;?3,98m;$4,72m;4,62m€
Everton;?48,57m;$57,62m;56,46m€
Excelsior;?2,65m;$3,14m;3,08m€
Exeter City;?1,83m;$2,16m;2,12m€
Famalic?o;?5,1m;$6,05m;5,93m€
Fatih Karagümrük;4 467;6 129;5 194
FC Andorra;?1,84m;$2,18m;2,14m€
FC Annecy;?2,3m;$2,73m;2,67m€
FC Augsburg;?15,76m;$18,7m;18,32m€
FC Basel;?9,71m;$11,52m;11,29m€
FC Cincinnati;?19,87m;$23,57m;23,1m€
FC Dallas;?16,57m;$19,65m;19,26m€
FC Emmen;?3,67m;$4,35m;4,27m€
FC Goa;?1,16m;$1,38m;1,35m€
FC Groningen;?5,64m;$6,69m;6,56m€
FC Hermannstadt;?1,49m;$1,77m;1,73m€
FC Ingolstadt 04;?4,57m;$5,42m;5,31m€
FC K?benhavn;?11,77m;$13,97m;13,69m€
FC Lorient;?8,93m;$10,59m;10,38m€
FC Lugano;?3,32m;$3,94m;3,86m€
FC Luzern;?4,76m;$5,64m;5,53m€
FC Midtjylland;?11,99m;$14,23m;13,94m€
FC Nantes;?11,62m;$13,79m;13,51m€
FC Nordsj?lland;?3m;$3,56m;3,49m€
FC Petrolul;?1,49m;$1,77m;1,73m€
FC Porto;?20,84m;$24,71m;24,22m€
FC Red Bull Salzburg;?20,97m;$24,88m;24,38m€
FC Seoul;?5,54m;$6,57m;6,44m€
FC Schalke 04;?19,65m;$23,31m;22,84m€
FC Sion;?7,44m;$8,82m;8,65m€
FC Sochaux;?3,67m;$4,36m;4,27m€
FC St. Gallen;?3,88m;$4,61m;4,51m€
FC St. Pauli;?6,39m;$7,58m;7,43m€
FC U Craiova;?2,61m;$3,1m;3,04m€
FC Utrecht;?12,69m;$15,05m;14,75m€
FC Viktoria Köln;?2,33m;$2,77m;2,71m€
FC Volendam;?2,96m;$3,51m;3,44m€
FC Winterthur;?2,02m;$2,39m;2,34m€
FC Zürich;?5,42m;$6,43m;6,31m€
FCSB;?7,05m;$8,36m;8,19m€
Fenerbahçe Istanbul;21 607;29 647;25 125
Feyenoord;?15,38m;$18,25m;17,88m€
Finn Harps;?0,67m;$0,79m;0,77m€
Fiorentina;?34,59m;$41,03m;40,21m€
FK Austria Wien;?8,52m;$10,11m;9,91m€
FK Jerv;?1,42m;$1,69m;1,65m€
Fleetwood Town;?2,36m;$2,8m;2,75m€
Forest Green;?2,07m;$2,45m;2,4m€
Fortuna Düsseldorf;?10,98m;$13,03m;12,76m€
Fortuna Sittard;?7,72m;$9,16m;8,97m€
FSV Zwickau;?1,33m;$1,58m;1,54m€
Fulham;?30,33m;$35,97m;35,25m€
Galatasaray Istanbul;22 091;30 311;25 688
Gangwon FC;?4,48m;$5,31m;5,2m€
Gaziºehir Gaziantep FK;2 976;4 083;3 461
Genk;?17,93m;$21,26m;20,84m€
Gent;?16,55m;$19,64m;19,24m€
Getafe;?13,7m;$16,25m;15,93m€
GIF Sundsvall;?1,64m;$1,94m;1,9m€
Gil Vicente;?3,73m;$4,43m;4,34m€
Gillingham;?2,92m;$3,47m;3,4m€
Gimcheon Sangmu;?3,06m;$3,63m;3,56m€
Giresunspor;2 106;2 890;2 449
Girona;?6,71m;$7,96m;7,8m€
Go Ahead Eagles;?4,11m;$4,87m;4,77m€
Górnik Zabrze;?2,46m;$2,91m;2,86m€
Göztepe Izmir;3 887;5 333;4 520
Granada;?8,87m;$10,52m;10,31m€
Grasshopper;?5,58m;$6,62m;6,48m€
Grenoble Foot 38;?3,61m;$4,28m;4,2m€
Greuther Fürth;?4,75m;$5,64m;5,52m€
Grimsby Town;?1,56m;$1,85m;1,81m€
Guangzhou Evergrande;?1,72m;$2,04m;1,99m€
Guangzhou R&F;?2,37m;$2,81m;2,75m€
Hallescher FC;?1,85m;$2,2m;2,15m€
Hamburger SV;?11,61m;$13,77m;13,49m€
Hamkam Fotball;?1,53m;$1,82m;1,78m€
Hammarby IF;?4,37m;$5,18m;5,08m€
Hannover 96;?24,02m;$28,49m;27,92m€
Hansa Rostock;?4,45m;$5,28m;5,18m€
Harrogate Town;?1,54m;$1,82m;1,79m€
Hartlepool;?1,57m;$1,86m;1,82m€
Hatayspor;2 859;3 923;3 324
Haugesund;?1,65m;$1,96m;1,92m€
Havre AC;?4,18m;$4,96m;4,86m€
Heart of Midlothian;?3,16m;$3,75m;3,67m€
Hebei China Fortune;?1,48m;$1,75m;1,72m€
Hellas Verona;?16m;$18,98m;18,6m€
Helsingborgs IF;?2,19m;$2,6m;2,55m€
Henan Jianye;?3,53m;$4,19m;4,11m€
HERO ISL;;;
Hertha BSC;?37,84m;$44,89m;43,99m€
Hibernian;?3,73m;$4,43m;4,34m€
Holstein Kiel;?7,1m;$8,42m;8,25m€
Houston Dynamo;?21,54m;$25,55m;25,04m€
Huddersfield Town;?6,76m;$8,01m;7,85m€
Huesca;?3,38m;$4,01m;3,93m€
Hull City;?5,51m;$6,54m;6,41m€
Hyderabad FC;?0,98m;$1,16m;1,14m€
Changchun Yatai;?3,55m;$4,21m;4,13m€
Charleroi;?7,35m;$8,71m;8,54m€
Charlotte FC;?18,1m;$21,47m;21,04m€
Charlton Athletic;?3,2m;$3,8m;3,72m€
Chelsea;?135,77m;$161,05m;157,82m€
Cheltenham Town;?1,65m;$1,96m;1,92m€
Chennaiyin FC;?1,66m;$1,97m;1,93m€
Chicago Fire;?24,79m;$29,4m;28,81m€
Chindia Târgovi?te;?1,32m;$1,56m;1,53m€
Ibiza;?2,43m;$2,88m;2,82m€
IF Elfsborg;?3,1m;$3,67m;3,6m€
IFK Göteborg;?3m;$3,56m;3,49m€
IFK Norrköping;?4,81m;$5,7m;5,59m€
IFK Värnamo;?1,46m;$1,73m;1,69m€
IK Sirius;?1,77m;$2,1m;2,05m€
Incheon United;?3,1m;$3,68m;3,61m€
Inter;?84,98m;$100,81m;98,79m€
Inter Miami CF;?27,01m;$32,03m;31,39m€
Ipswich Town;?4,25m;$5,04m;4,94m€
Istanbul Baºakºehir FK;9 048;12 415;10 521
Jagiellonia Bia³ystok;?3,27m;$3,88m;3,8m€
Jahn Regensburg;?3,71m;$4,4m;4,32m€
Jamshedpur FC;?1,08m;$1,28m;1,26m€
Jeju United;?5m;$5,93m;5,81m€
Jeonbuk Hyundai Motors;?9,31m;$11,04m;10,82m€
Juventus;?154,17m;$182,88m;179,22m€
Kalmar FF;?1,68m;$1,99m;1,95m€
Karlsruher SC;?4,67m;$5,54m;5,43m€
Kas?mpaºa Istanbul;3 459;4 746;4 022
Kayserispor;1 557;2 136;1 810
Kerala Blasters;?1,98m;$2,35m;2,3m€
Kilmarnock;?2,19m;$2,59m;2,54m€
Konyaspor;4 128;5 664;4 800
Korona Kielce;?1,62m;$1,92m;1,88m€
Kortrijk;?5,54m;$6,57m;6,44m€
Kristiansund;?1,87m;$2,22m;2,17m€
KV Westerlo;?4,7m;$5,58m;5,46m€
LA Galaxy;?32,98m;$39,12m;38,33m€
Las Palmas;?7,01m;$8,32m;8,15m€
LASK;?9,44m;$11,19m;10,97m€
Lazio;?39,85m;$47,27m;46,32m€
Lecce;?8,03m;$9,52m;9,33m€
Leeds United;?45m;$53,38m;52,31m€
Leganés;?5,93m;$7,04m;6,9m€
Legia Warszawa;?5,74m;$6,81m;6,67m€
Lech Poznañ;?4,91m;$5,82m;5,7m€
Lechia Gdañsk;?3,21m;$3,8m;3,73m€
Leicester City;?73,03m;$86,63m;84,89m€
Leuven;?6,85m;$8,13m;7,97m€
Levante;?11,04m;$13,1m;12,84m€
Leyton Orient;?2,15m;$2,55m;2,5m€
Lillestr?m;?2,28m;$2,7m;2,65m€
Lincoln City;?2,35m;$2,79m;2,74m€
Liverpool;?154,69m;$183,5m;179,82m€
Livingston;?1,79m;$2,13m;2,08m€
Los Angeles FC;?33,15m;$39,32m;38,53m€
LOSC Lille;?18,77m;$22,27m;21,82m€
Lugo;?2,02m;$2,39m;2,35m€
Luton Town;?7,98m;$9,47m;9,28m€
Lyngby BK;?2,04m;$2,42m;2,37m€
Macarthur FC;?2,94m;$3,48m;3,41m€
Mainz 05;?14,01m;$16,62m;16,29m€
Málaga;?9,4m;$11,15m;10,93m€
Mallorca;?8,68m;$10,3m;10,09m€
Malmö FF;?7,95m;$9,43m;9,24m€
Manchester City;?234,07m;$277,65m;272,09m€
Manchester United;?204,57m;$242,66m;237,8m€
Mansfield Town;?2,73m;$3,24m;3,17m€
Marítimo;?4,83m;$5,73m;5,62m€
Mechelen;?6,18m;$7,32m;7,18m€
Meizhou Hakka;?2,73m;$3,24m;3,18m€
Melbourne City;?6,11m;$7,25m;7,11m€
Melbourne Victory;?4,76m;$5,64m;5,53m€
Metz;?6,08m;$7,21m;7,06m€
Middlesbrough;?10,5m;$12,45m;12,2m€
MiedŸ Legnica;?1,62m;$1,93m;1,89m€
Milan;?76,38m;$90,6m;88,79m€
Millwall;?5,67m;$6,73m;6,6m€
Milton Keynes Dons;?2,42m;$2,86m;2,81m€
Minnesota United FC;?22,84m;$27,09m;26,55m€
Mioveni;?1,34m;$1,59m;1,56m€
Mirandés;?1,84m;$2,18m;2,14m€
Mjällby AI;?1,56m;$1,85m;1,82m€
Molde;?5,13m;$6,08m;5,96m€
Montpellier HSC;?10,77m;$12,77m;12,51m€
Monza;?22,03m;$26,13m;25,61m€
Morecambe;?1,61m;$1,91m;1,87m€
Motherwell;?1,95m;$2,31m;2,27m€
MSV Duisburg;?4,92m;$5,84m;5,72m€
Mumbai City FC;?2,92m;$3,47m;3,4m€
Napoli;?51,53m;$61,13m;59,91m€
Nashville SC;?16,66m;$19,77m;19,37m€
NEC Nijmegen;?6,06m;$7,19m;7,05m€
New England Revolution;?19,58m;$23,23m;22,77m€
New York City FC;?27,92m;$33,12m;32,46m€
New York Red Bulls;?21,9m;$25,98m;25,46m€
Newcastle Jets;?1,99m;$2,36m;2,31m€
Newcastle United;?69,02m;$81,87m;80,23m€
Newport County;?2,08m;$2,46m;2,41m€
Nîmes Olympique;?4,67m;$5,54m;5,43m€
Niort;?3,32m;$3,94m;3,86m€
Northampton Town;?2,42m;$2,87m;2,81m€
Northeast United;?0,93m;$1,11m;1,09m€
Norwich;?20,72m;$24,57m;24,08m€
Nottingham Forest;?23,78m;$28,2m;27,64m€
Odds BK;?2,38m;$2,83m;2,77m€
Odense BK;?3,28m;$3,89m;3,81m€
Odisha FC;?0,93m;$1,11m;1,08m€
OGC Nice;?21,24m;$25,19m;24,69m€
Olympique de Marseille;?29,43m;$34,91m;34,21m€
Olympique Lyonnais;?45,56m;$54,05m;52,96m€
Oostende;?4,59m;$5,44m;5,33m€
Orlando City;?22,54m;$26,74m;26,2m€
Osasuna;?12,17m;$14,43m;14,14m€
Oxford United;?2,67m;$3,17m;3,1m€
Paços de Ferreira;?4,2m;$4,99m;4,89m€
Paris FC;?6,11m;$7,25m;7,1m€
Paris Saint-Germain;?163,79m;$194,28m;190,39m€
Pau FC;?2,46m;$2,91m;2,85m€
Perth Glory;?3,22m;$3,81m;3,74m€
Peterborough;?4,2m;$4,98m;4,88m€
PGE Stal Mielec;?1,53m;$1,82m;1,78m€
Philadelphia Union;?19,12m;$22,68m;22,22m€
Piast Gliwice;?2,91m;$3,46m;3,39m€
Plymouth Argyle;?2,52m;$2,99m;2,93m€
Pogoñ Szczecin;?3,5m;$4,16m;4,07m€
Pohang Steelers;?3,77m;$4,47m;4,38m€
Ponferradina;?2,89m;$3,43m;3,36m€
Port Vale;?1,92m;$2,27m;2,23m€
Portimonense;?4,21m;$4,99m;4,89m€
Portland Timbers;?28,28m;$33,55m;32,88m€
Portsmouth;?3,04m;$3,61m;3,53m€
Preston North End;?8,48m;$10,05m;9,85m€
PSV;?26,62m;$31,58m;30,95m€
QPR;?8,78m;$10,41m;10,2m€
Quevilly-Rouen;?2,16m;$2,56m;2,51m€
R.S.C Anderlecht;?15,73m;$18,66m;18,29m€
Racing Club de Lens;?14,31m;$16,97m;16,63m€
Racing Santander;?2,54m;$3,01m;2,95m€
Radomiak Radom;?1,7m;$2,02m;1,98m€
Raków Czêstochowa;?2,98m;$3,53m;3,46m€
Randers FC;?2,98m;$3,53m;3,46m€
Rangers;?21,64m;$25,67m;25,15m€
Rapid Bucure?ti;?2,44m;$2,9m;2,84m€
Rayo Vallecano;?7,59m;$9,01m;8,83m€
RB Leipzig;?72,18m;$85,61m;83,9m€
RC Strasbourg Alsace;?11,45m;$13,58m;13,31m€
Reading;?6,94m;$8,23m;8,07m€
Real Betis;?21,12m;$25,05m;24,55m€
Real Madrid;?178,77m;$212,05m;207,81m€
Real Oviedo;?3,03m;$3,6m;3,53m€
Real Salt Lake;?18,83m;$22,34m;21,89m€
Real Sociedad;?21,69m;$25,73m;25,22m€
Rio Ave;?4,75m;$5,64m;5,52m€
RKC Waalwijk;?3,16m;$3,74m;3,67m€
Rodez Averyron;?2,34m;$2,77m;2,72m€
Rochdale;?1,86m;$2,21m;2,16m€
Rongcheng FC;?2,69m;$3,19m;3,13m€
Rosenborg;?8,42m;$9,99m;9,79m€
Ross County;?1,78m;$2,12m;2,07m€
Rotherham United;?3,05m;$3,62m;3,55m€
Rot-Weiss Essen;?2,27m;$2,69m;2,63m€
Royal Antwerp;?24,6m;$29,18m;28,6m€
Salernitana;?13,17m;$15,62m;15,31m€
Salford City;?2,74m;$3,25m;3,19m€
Sampdoria;?16,04m;$19,03m;18,65m€
San Jose Earthquakes;?21,12m;$25,05m;24,55m€
Sandefjord;?1,59m;$1,88m;1,85m€
Santa Clara;?2,84m;$3,37m;3,3m€
Sarpsborg 08;?2,2m;$2,61m;2,56m€
Sassuolo;?19,33m;$22,93m;22,47m€
SC Bastia;?2,53m;$3,01m;2,95m€
SC Cambuur;?3,93m;$4,67m;4,57m€
SC Freiburg;?22,37m;$26,54m;26m€
SC Freiburg II;?2m;$2,37m;2,33m€
SC Heerenveen;?4,83m;$5,73m;5,61m€
SC Paderborn;?6,73m;$7,98m;7,82m€
SC Verl;?1,17m;$1,38m;1,36m€
SCR Altach;?3,49m;$4,14m;4,06m€
Seattle Sounders FC;?29,23m;$34,68m;33,98m€
Seongnam FC;?2,83m;$3,35m;3,29m€
Sepsi Sfântu Gheorghe;?3,45m;$4,09m;4,01m€
Seraing;?2,48m;$2,94m;2,88m€
Servette FC;?5,25m;$6,23m;6,1m€
Sevilla;?39,69m;$47,08m;46,14m€
Shamrock Rovers;?1,09m;$1,29m;1,26m€
Shandong Luneng;?7,39m;$8,77m;8,59m€
Shanghai Port;?9,42m;$11,17m;10,94m€
Shanghai Shenhua;?4,32m;$5,12m;5,02m€
Sheffield United;?16,06m;$19,05m;18,66m€
Sheffield Wednesday;?5,14m;$6,1m;5,97m€
Shelbourne;?0,67m;$0,79m;0,78m€
Shenzhen FC;?4,39m;$5,21m;5,11m€
Shrewsbury Town;?2,2m;$2,61m;2,56m€
Silkeborg IF;?2,16m;$2,56m;2,51m€
Sint-Truiden;?5,8m;$6,88m;6,74m€
Sivasspor;4 966;6 814;5 774
SK Rapid Wien;?12,19m;$14,46m;14,17m€
SK Sturm Graz;?6,68m;$7,92m;7,76m€
SL Benfica;?29,25m;$34,7m;34,01m€
Sligo Rovers;?0,71m;$0,84m;0,82m€
SM Caen;?5,05m;$5,99m;5,87m€
Southampton;?41,62m;$49,37m;48,39m€
Sparta Rotterdam;?5,6m;$6,64m;6,51m€
Spezia;?11,82m;$14,02m;13,74m€
Sporting;?22,1m;$26,21m;25,68m€
Sporting de Braga;?14,98m;$17,77m;17,42m€
Sporting de Gijón;?5,59m;$6,63m;6,5m€
Sporting Kansas City;?24,34m;$28,88m;28,3m€
SPVGG Bayreuth;?1,08m;$1,29m;1,26m€
St Johnstone;?2,05m;$2,43m;2,38m€
St Mirren;?1,93m;$2,29m;2,25m€
St Patrick’s Athletic;?0,84m;$1m;0,98m€
Stade Brestois 29;?9,14m;$10,84m;10,62m€
Stade de Reims;?11,61m;$13,77m;13,49m€
Stade Lavallois;?5,05m;$5,99m;5,87m€
Stade Rennais FC;?20,68m;$24,53m;24,04m€
Standard Li?ge;?12,92m;$15,33m;15,02m€
Stevenage;?1,76m;$2,08m;2,04m€
Stockport;?2,46m;$2,92m;2,86m€
Stoke City;?8,36m;$9,92m;9,72m€
Str?msgodset;?2,5m;$2,96m;2,9m€
Sunderland;?4,9m;$5,81m;5,69m€
SUPERLIGA;;;
Sutton United;?1,49m;$1,77m;1,73m€
Suwon FC;?3,59m;$4,25m;4,17m€
Suwon Samsung Bluewings;?3,23m;$3,83m;3,75m€
SV Elversberg;?1,08m;$1,28m;1,25m€
SV Meppen;?1,41m;$1,68m;1,64m€
SV Ried;?3,63m;$4,31m;4,22m€
SV Sandhausen;?3,49m;$4,14m;4,05m€
SV Waldhof Mannheim;?1,91m;$2,27m;2,22m€
SV Werder Bremen;?13,48m;$15,99m;15,67m€
Swansea City;?11,78m;$13,98m;13,7m€
Swindon Town;?2,24m;$2,65m;2,6m€
Sydney FC;?4,71m;$5,58m;5,47m€
Tenerife;?3,82m;$4,53m;4,44m€
Tianjin TEDA;?2,18m;$2,58m;2,53m€
Torino;?19,36m;$22,96m;22,5m€
Toronto FC;?28,36m;$33,64m;32,97m€
Tottenham;?102,08m;$121,09m;118,67m€
Toulouse FC;?7,83m;$9,29m;9,1m€
Toulouse FC B;?2,7m;$3,2m;3,13m€
Trabzonspor;13 351;18 319;15 525
Tranmere Rovers;?2,21m;$2,62m;2,57m€
Troms?;?1,84m;$2,18m;2,13m€
TSG Hoffenheim;?37,33m;$44,28m;43,4m€
1860 München;?1,82m;$2,15m;2,11m€
TSV Hartberg;?2,98m;$3,53m;3,46m€
Twente;?8,94m;$10,6m;10,39m€
UCD AFC;?0,63m;$0,74m;0,73m€
UD Almería;?13,91m;$16,5m;16,17m€
Udinese;?13,31m;$15,79m;15,47m€
Ulsan Hyundai;?9,31m;$11,04m;10,82m€
Union Berlin;?16,6m;$19,69m;19,29m€
Union SG;?6,84m;$8,11m;7,95m€
Universitatea Craiova;?4,23m;$5,01m;4,91m€
UTA Arad;?2,02m;$2,4m;2,35m€
Valencia;?58,59m;$69,5m;68,11m€
Valenciennes;?2,88m;$3,42m;3,35m€
V?lerenga;?3,07m;$3,64m;3,56m€
Valladolid;?9,32m;$11,06m;10,84m€
Vancouver Whitecaps FC;?17,75m;$21,05m;20,63m€
Varberg;?1,57m;$1,86m;1,83m€
VfB Stuttgart;?21,41m;$25,4m;24,89m€
VfL Bochum;?9,19m;$10,91m;10,69m€
VfL Osnabrück;?2,36m;$2,8m;2,74m€
VfL Wolfsburg;?46,3m;$54,92m;53,82m€
Viborg FF;?2,15m;$2,56m;2,5m€
Viitorul Constan?a;?3,08m;$3,65m;3,58m€
Viking;?2,53m;$3m;2,94m€
Villareal;?38,62m;$45,81m;44,89m€
Villarreal B;?1,7m;$2,02m;1,98m€
Vitesse;?11,7m;$13,87m;13,59m€
Vitória de Guimar?es;?6,57m;$7,79m;7,63m€
Vizela;?2,34m;$2,77m;2,72m€
Voluntari;?2,73m;$3,24m;3,17m€
Walsall;?2,19m;$2,6m;2,55m€
Warta Poznañ;?1,59m;$1,89m;1,85m€
Watford;?23,16m;$27,47m;26,92m€
WBA;?17,04m;$20,21m;19,8m€
Wehen Wiesbaden;?3,42m;$4,05m;3,97m€
Wellington Phoenix;?2,26m;$2,68m;2,62m€
West Ham;?60,83m;$72,15m;70,71m€
Western Sydney Wanderers;?1,99m;$2,36m;2,31m€
Western United;?3,03m;$3,59m;3,52m€
Widzew £ódŸ;?1,95m;$2,31m;2,27m€
Wigan Athletic;?3,47m;$4,12m;4,04m€
Wis³a Kraków Œl¹sk Wroc³aw;?2,96m;$3,51m;3,44m€
Wis³a P³ock;?1,98m;$2,35m;2,3m€
Wolfsberger AC;?5,07m;$6,02m;5,9m€
Wolverhampton;?55,61m;$65,96m;64,64m€
WSG Tirol;?3,11m;$3,69m;3,62m€
Wuhan 3 Towns;?6,51m;$7,72m;7,57m€
Wuhan Zall;?2,6m;$3,09m;3,03m€
Wycombe Wanderers;?2,66m;$3,15m;3,09m€
Yeni Malatyaspor;3 436;4 714;3 995
Zag³êbie Lubin;?3,3m;$3,91m;3,83m€
Zaragoza;?3,98m;$4,72m;4,63m€
Zhejiang Pro;?2,36m;$2,8m;2,74m€
Zulte Waregem;?6,62m;$7,85m;7,7m€
