player_id;player_url;fifa_version;fifa_update;update_as_of;short_name;long_name;player_positions;overall;potential;value_eur;wage_eur;age;dob;height_cm;weight_kg;club_team_id;club_name;league_id;league_name;league_level;club_position;club_jersey_number;club_loaned_from;club_joined_date;club_contract_valid_until_year;nationality_id;nationality_name;nation_team_id;nation_position;nation_jersey_number;preferred_foot;weak_foot;skill_moves;international_reputation;work_rate;body_type;real_face;release_clause_eur;player_tags;player_traits;pace;shooting;passing;dribbling;defending;physic;attacking_crossing;attacking_finishing;attacking_heading_accuracy;attacking_short_passing;attacking_volleys;skill_dribbling;skill_curve;skill_fk_accuracy;skill_long_passing;skill_ball_control;movement_acceleration;movement_sprint_speed;movement_agility;movement_reactions;movement_balance;power_shot_power;power_jumping;power_stamina;power_strength;power_long_shots;mentality_aggression;mentality_interceptions;mentality_positioning;mentality_vision;mentality_penalties;mentality_composure;defending_marking_awareness;defending_standing_tackle;defending_sliding_tackle;goalkeeping_diving;goalkeeping_handling;goalkeeping_kicking;goalkeeping_positioning;goalkeeping_reflexes;goalkeeping_speed;ls;st;rs;lw;lf;cf;rf;rw;lam;cam;ram;lm;lcm;cm;rcm;rm;lwb;ldm;cdm;rdm;rwb;lb;lcb;cb;rcb;rb;gk
209331;/player/209331/mohamed-salah/240002;24.0;2.0;22.09.2023;M. Salah;Mohamed Salah Ghaly;RW;89;89;85500000.0;260000.0;31;15.06.1992;175;71;9;Liverpool;13.0;Premier League;1;RW;11;;01.07.2017;2025;111;Egypt;;;;Left;3;4;5;High/Medium;Unique;Yes;158200000;#Dribbler, #Acrobat, #Clinical finisher, #Complete forward;Finesse Shot +, Chip Shot, Rapid, Trivela;89;87;81;88;45;76;80;92;59;84;83;88;84;69;77;86;89;89;89;93;91;82;80;87;75;84;63;55;92;84;81;90;38;43;41;14;14;9;11;14;;85+3;85+3;85+3;88;87;87;87;88;87+2;87+2;87+2;87+2;82+3;82+3;82+3;87+2;71+3;68+3;68+3;68+3;71+3;67+3;58+3;58+3;58+3;67+3;22+3
239053;/player/239053/federico-valverde/240002;24.0;2.0;22.09.2023;F. Valverde;Federico Santiago Valverde Dipetta;CM, RW;88;92;130500000.0;270000.0;24;22.07.1998;182;78;243;Real Madrid;53.0;La Liga;1;RCM;15;;22.07.2016;2027;60;Uruguay;;;;Right;4;3;3;High/High;Unique;Yes;277300000;#Playmaker, #Engine, #Distance shooter, #Complete midfielder;Power Shot, Long Ball Pass, Rapid, Relentless, Trivela;88;82;84;84;80;82;78;79;59;87;70;83;74;69;88;88;84;91;77;89;68;89;80;89;80;87;81;83;86;86;59;84;79;85;79;6;10;6;15;8;;82+3;82+3;82+3;85;85;85;85;85;86+3;86+3;86+3;85+3;87+3;87+3;87+3;85+3;84+3;85+3;85+3;85+3;84+3;83+3;80+3;80+3;80+3;83+3;18+3
232293;/player/232293/victor-osimhen/240002;24.0;2.0;22.09.2023;V. Osimhen;Victor James Osimhen;ST;88;91;126500000.0;120000.0;24;29.12.1998;185;78;48;Napoli;31.0;Serie A;1;ST;9;;01.09.2020;2025;133;Nigeria;;;;Right;4;3;3;High/Medium;Lean (185+);Yes;224500000;;Chip Shot, Power Header, Rapid, Acrobatic;90;86;66;83;42;82;62;91;84;74;83;83;63;52;54;86;87;92;78;89;68;86;94;81;86;77;68;34;90;70;75;80;36;45;22;14;14;10;9;6;;87+3;87+3;87+3;82;85;85;85;82;81+3;81+3;81+3;80+3;73+3;73+3;73+3;80+3;62+3;60+3;60+3;60+3;62+3;60+3;57+3;57+3;57+3;60+3;19+3
210257;/player/210257/ederson-santana-de-moraes/240002;24.0;2.0;22.09.2023;Ederson;Ederson Santana de Moraes;GK;88;89;70000000.0;210000.0;29;17.08.1993;188;86;10;Manchester City;13.0;Premier League;1;GK;31;;01.07.2017;2026;54;Brazil;;;;Left;3;1;3;Medium/Medium;Unique;Yes;134800000;;;;;;;;;20;14;14;61;18;23;15;20;65;40;64;63;60;87;48;68;79;44;78;18;38;27;20;70;51;70;29;15;8;86;82;91;86;86;64;39+3;39+3;39+3;41;43;43;43;41;47+3;47+3;47+3;45+3;49+3;49+3;49+3;45+3;38+3;44+3;44+3;44+3;38+3;36+3;35+3;35+3;35+3;36+3;86+3
212622;/player/212622/joshua-kimmich/240002;24.0;2.0;22.09.2023;J. Kimmich;Joshua Walter Kimmich;CDM, RB, CM;88;89;88000000.0;130000.0;28;08.02.1995;177;75;21;FC Bayern München;19.0;Bundesliga;1;RDM;6;;01.07.2015;2025;21;Germany;1337;RB;6;Right;4;3;4;High/Medium;Normal (170-185);Yes;151800000;#Crosser;Long Ball Pass +, Dead Ball, Whipped Cross, Anticipate, Press Proven, Relentless;70;74;88;84;82;79;91;68;72;88;69;82;85;76;91;85;77;65;84;88;84;78;78;94;68;83;88;85;80;85;69;86;82;84;78;8;15;7;15;15;;77+3;77+3;77+3;82;81;81;81;82;83+3;83+3;83+3;83+3;86+3;86+3;86+3;83+3;84+3;86+3;86+3;86+3;84+3;83+3;81+3;81+3;81+3;83+3;21+3
194765;/player/194765/antoine-griezmann/240002;24.0;2.0;22.09.2023;A. Griezmann;Antoine Griezmann;ST, CF;88;88;74000000.0;135000.0;32;21.03.1991;176;73;240;Atlético Madrid;53.0;La Liga;1;RS;7;;10.10.2022;2026;18;France;1335;CAM;7;Left;3;4;5;High/High;Unique;Yes;151700000;#Dribbler, #Engine, #Acrobat, #Clinical finisher, #Complete forward;Finesse Shot +, Chip Shot, Pinged Pass, Technical, Flair, Trivela, Acrobatic;80;88;87;88;58;75;82;90;85;89;85;88;89;85;86;89;80;80;89;90;84;85;85;86;69;87;74;57;90;88;79;89;45;63;60;14;8;14;13;14;;87+1;87+1;87+1;87;88;88;88;87;88;88;88;87+1;85+3;85+3;85+3;87+1;75+3;74+3;74+3;74+3;75+3;73+3;68+3;68+3;68+3;73+3;21+3
200389;/player/200389/jan-oblak/240002;24.0;2.0;22.09.2023;J. Oblak;Jan Oblak;GK;88;88;61000000.0;90000.0;30;07.01.1993;188;87;240;Atlético Madrid;53.0;La Liga;1;GK;13;;16.07.2014;2028;44;Slovenia;;;;Right;3;1;4;Medium/Medium;Unique;Yes;125100000;;Far Throw;;;;;;;13;11;15;43;13;12;13;14;40;30;42;53;64;85;48;59;72;42;78;12;36;24;11;67;11;68;27;14;18;85;90;78;86;87;46;32+3;32+3;32+3;32;34;34;34;32;37+3;37+3;37+3;34+3;39+3;39+3;39+3;34+3;32+3;37+3;37+3;37+3;32+3;32+3;34+3;34+3;34+3;32+3;86+2
212198;/player/212198/bruno-miguel-borges-fernandes/240002;24.0;2.0;22.09.2023;Bruno Fernandes;Bruno Miguel Borges Fernandes;CAM, CM;88;88;92000000.0;260000.0;28;08.09.1994;179;69;11;Manchester United;13.0;Premier League;1;CAM;8;;30.01.2020;2026;38;Portugal;1354;LCM;8;Right;3;4;4;High/High;Unique;Yes;174800000;#Playmaker, #Engine, #Distance shooter, #Crosser, #Complete midfielder;Pinged Pass +, Incisive Pass, Long Ball Pass, Flair, First Touch, Trivela;71;86;90;83;69;77;87;83;66;90;87;81;86;85;92;88;74;68;78;91;79;88;73;95;66;88;84;66;88;94;90;82;69;74;65;12;14;15;8;14;;82+3;82+3;82+3;85;85;85;85;85;87+1;87+1;87+1;86+2;88;88;88;86+2;79+3;81+3;81+3;81+3;79+3;77+3;73+3;73+3;73+3;77+3;21+3
218667;/player/218667/bernardo-mota-carvalho-e-silva/240002;24.0;2.0;22.09.2023;Bernardo Silva;Bernardo Mota Veiga de Carvalho e Silva;CM, RW;88;88;91500000.0;270000.0;28;10.08.1994;173;64;10;Manchester City;13.0;Premier League;1;SUB;20;;01.07.2017;2026;38;Portugal;1354;RW;10;Left;3;4;3;High/High;Lean (170-185);Yes;169300000;#Dribbler, #Playmaker, #Engine, #Acrobat, #Complete midfielder;Technical +, Tiki Taka, Flair, Relentless, Trivela;69;78;86;92;70;69;84;78;54;91;78;92;84;67;82;91;78;61;95;89;92;79;66;93;54;79;78;73;85;87;68;89;70;76;60;9;10;14;12;9;;78+3;78+3;78+3;85;84;84;84;85;87+1;87+1;87+1;86+2;87+1;87+1;87+1;86+2;80+3;80+3;80+3;80+3;80+3;76+3;70+3;70+3;70+3;76+3;19+3
222665;/player/222665/martin-odegaard/240002;24.0;2.0;22.09.2023;M. ?degaard;Martin ?degaard;CAM, CM;87;90;109000000.0;170000.0;24;17.12.1998;178;68;1;Arsenal;13.0;Premier League;1;RCM;8;;20.08.2021;2026;36;Norway;1352;RCM;10;Left;2;5;4;High/Medium;Lean (170-185);Yes;215300000;#Dribbler, #Playmaker, #Complete midfielder;Pinged Pass +, Incisive Pass, Whipped Cross, Technical, Flair, First Touch, Trivela;72;81;88;87;61;64;85;82;55;90;79;86;83;85;87;89;74;71;85;84;82;82;66;81;56;83;64;66;83;89;63;86;67;55;54;14;15;15;8;10;;79+3;79+3;79+3;84;84;84;84;84;86+3;86+3;86+3;84+3;84+3;84+3;84+3;84+3;75+3;75+3;75+3;75+3;75+3;71+3;64+3;64+3;64+3;71+3;20+3
228702;/player/228702/frenkie-de-jong/240002;24.0;2.0;22.09.2023;F. de Jong;Frenkie de Jong;CM, CDM;87;90;103500000.0;240000.0;26;12.05.1997;181;74;241;FC Barcelona;53.0;La Liga;1;LCM;21;;01.07.2019;2026;34;Netherlands;105035;LCM;21;Right;3;4;4;High/Medium;Unique;Yes;219900000;#Dribbler, #Playmaker, #Acrobat, #Complete midfielder;Trivela +, Finesse Shot, Pinged Pass, Long Ball Pass, Tiki Taka, Flair, Press Proven;82;69;86;87;77;78;78;72;72;91;70;87;84;64;89;89;80;83;87;88;79;68;82;89;74;66;74;82;77;88;53;90;76;76;77;7;13;10;10;9;;78+3;78+3;78+3;83;82;82;82;83;85+3;85+3;85+3;85+3;86+3;86+3;86+3;85+3;83+3;84+3;84+3;84+3;83+3;82+3;78+3;78+3;78+3;82+3;18+3
230621;/player/230621/gianluigi-donnarumma/240002;24.0;2.0;22.09.2023;G. Donnarumma;Gianluigi Donnarumma;GK;87;90;85000000.0;90000.0;24;25.02.1999;196;90;73;Paris Saint Germain;16.0;Ligue 1;1;GK;99;;15.07.2021;2026;27;Italy;1343;GK;1;Right;3;1;3;Medium/Medium;Unique;Yes;163600000;;;;;;;;;12;12;12;36;8;28;12;14;34;30;50;55;64;84;38;59;71;34;72;18;30;26;14;60;24;65;20;14;16;90;82;79;83;89;52;34+3;34+3;34+3;34;36;36;36;34;38+3;38+3;38+3;35+3;37+3;37+3;37+3;35+3;31+3;34+3;34+3;34+3;31+3;30+3;31+3;31+3;31+3;30+3;85+3
231478;/player/231478/lautaro-martinez/240002;24.0;2.0;22.09.2023;L. Martínez;Lautaro Javier Martínez;ST;87;90;107000000.0;150000.0;25;22.08.1997;174;72;44;Inter;31.0;Serie A;1;LS;10;;05.07.2018;2026;52;Argentina;1369;SUB;22;Right;4;4;3;High/Medium;Unique;Yes;189900000;#Acrobat;Technical, Flair, Trivela;80;86;71;85;48;85;58;90;86;75;91;84;78;54;73;86;83;77;86;88;89;85;93;80;84;78;90;45;90;78;74;86;55;31;44;11;8;8;8;13;;86+3;86+3;86+3;82;84;84;84;82;82+3;82+3;82+3;80+3;76+3;76+3;76+3;80+3;64+3;66+3;66+3;66+3;64+3;62+3;62+3;62+3;62+3;62+3;18+3
235073;/player/235073/gregor-kobel/240002;24.0;2.0;22.09.2023;G. Kobel;Gregor Kobel;GK;87;90;81500000.0;64000.0;25;06.12.1997;195;88;22;Borussia Dortmund;19.0;Bundesliga;1;GK;1;;01.07.2021;2026;47;Switzerland;;;;Right;3;1;3;Medium/Medium;Normal (185+);Yes;144700000;;Far Throw, Footwork;;;;;;;13;10;13;39;10;24;13;12;33;34;38;52;37;85;29;56;71;30;81;10;24;14;10;59;12;66;15;15;15;86;84;74;85;89;44;33+3;33+3;33+3;32;35;35;35;32;36+3;36+3;36+3;34+3;36+3;36+3;36+3;34+3;29+3;33+3;33+3;33+3;29+3;28+3;30+3;30+3;30+3;28+3;85+3
215698;/player/215698/mike-maignan/240002;24.0;2.0;22.09.2023;M. Maignan;Mike Maignan;GK;87;89;73000000.0;90000.0;27;03.07.1995;191;89;47;Milan;31.0;Serie A;1;GK;16;;01.07.2021;2026;18;France;1335;GK;16;Right;4;1;3;Medium/Medium;Normal (185+);Yes;129600000;;Far Throw;;;;;;;18;15;17;65;16;31;38;16;61;40;50;53;41;85;56;65;75;39;78;20;35;25;15;65;15;68;23;16;19;85;82;87;85;89;51;39+3;39+3;39+3;39;42;42;42;39;46+3;46+3;46+3;43+3;48+3;48+3;48+3;43+3;37+3;43+3;43+3;43+3;37+3;35+3;35+3;35+3;35+3;35+3;85+3
207865;/player/207865/marcos-aoas-correa/240002;24.0;2.0;22.09.2023;Marquinhos;Marcos Aoás Corr?a;CB;87;88;73500000.0;140000.0;29;14.05.1994;183;75;73;Paris Saint Germain;16.0;Ligue 1;1;RCB;5;;19.07.2013;2028;54;Brazil;;;;Right;3;3;3;Medium/High;Normal (170-185);Yes;141500000;#Tackling, #Tactician ;Intercept +, Power Header, Jockey, Anticipate, Aerial;78;56;75;74;89;80;68;59;88;84;35;69;58;32;85;79;76;80;68;86;67;65;89;83;78;45;81;89;70;76;52;86;90;89;88;6;6;12;10;13;;72+3;72+3;72+3;73;73;73;73;73;74+3;74+3;74+3;76+3;79+3;79+3;79+3;76+3;82+3;85+3;85+3;85+3;82+3;84+3;86+2;86+2;86+2;84+3;17+3
