club;budget_GBP;budget_EUR
Farense;£2,12M;3035
Fatih Karagümrük;£3,14M;€3,69M
FC Andorra;£1,92M;€2,23M
FC Augsburg;£17,19M;€19,98M
FC Basel;£7,73M;€8,99M
FC Cincinnati;£17,36M;€20,18M
FC Dallas;£18,76M;€21,81M
FC Goa;£1,14M;€1,33M
FC Hermannstadt;£1,8M;€2,09M
FC Ingolstadt 04;£5,77M;€6,7M
FC København;£14,48M;€17,04M
FC Lorient;£12,1M;€14,06M
FC Lugano;£4,37M;€5,08M
FC Luzern;£5,54M;€6,44M
FC Midtjylland;£13,53M;€15,92M
FC Nantes;£15,9M;€18,49M
FC Nordsjælland;£3,32M;€3,9M
FC Petrolul;£2,14M;€2,49M
FC Porto;£20,57M;€23,91M
FC Red Bull Salzburg;£19,29M;€22,69M
FC Seoul;£6,68M;€7,77M
FC Schalke 04;£15,39M;€17,88M
FC Sochaux;£4,09M;€4,75M
FC St. Gallen;£4,84M;€5,63M
FC St. Pauli;£6,91M;€8,03M
FC U Craiova;£2,67M;€3,1M
FC Utrecht;£16,94M;€19,69M
FC Volendam;£3,17M;€3,69M
FC Winterthur;£2,85M;€3,31M
FC Zürich;£5,21M;€6,05M
FCSB;£6,97M;€8,1M
Fenerbahçe Istanbul;£23,04M;€26,79M
Feyenoord;£31,35M;€36,45M
Fiorentina;£38,72M;€45,01M
FK Austria Wien;£6,6M;€7,76M
Fleetwood Town;£2,69M;€3,13M
Forest Green;£2,44M;€2,83M
Fortuna Düsseldorf;£11,01M;€12,8M
Fortuna Sittard;£7,22M;€8,39M
Frosione;£5,3M;€6,16M
Fulham;£37,13M;€43,69M
Galatasaray Istanbul;£24,6M;€28,59M
Gangwon FC;£3,93M;€4,56M
Gazişehir Gaziantep FK;£3,93M;€4,57M
Genk;£16,37M;€19,26M
Genoa;£14,73M;€17,13M
Gent;£16,98M;€19,98M
Getafe;£14,6M;€16,97M
Gil Vicente;£3,61M;€4,19M
Gillingham;£2,17M;€2,52M
Gimnasia;£5,83M;€6,86M
Giresunspor;£3,14M;€3,69M
Girona;£8,46M;€9,84M
Go Ahead Eagles;£4,41M;€5,13M
Godoy Cruz;£4,34M;€5,11M
Górnik Zabrze;£2,44M;€2,83M
Granada;£10,09M;€11,73M
Grasshopper;£5,24M;€6,09M
Grenoble Foot 38;£4,6M;€5,34M
Greuther Fürth;£4,48M;€5,2M
Grimsby Town;£1,82M;€2,12M
Gwangju;£2,9M;€3,37M
Hallescher FC;£1,65M;€1,91M
Halmstads BK;£1,95M;€2,27M
Hamburger SV;£23,6M;€27,44M
Hamkam Fotball;£1,81M;€2,1M
Hammarby IF;£7,53M;€8,76M
Hannover 96;£18,68M;€21,71M
Hansa Rostock;£4,76M;€5,53M
Harrogate Town;£1,63M;€1,89M
Hatayspor;£4,86M;€5,65M
Haugesund;£1,63M;€1,89M
Havre AC;£7,51M;€8,73M
Heart of Midlothian;£3,83M;€4,45M
Hellas Verona;£14,99M;€17,42M
Henan Jianye;£2,79M;€3,28M
Heracles Almelo;£4,16M;€4,84M
Hertha BSC;£17,63M;€20,5M
Hibernian;£3,36M;€3,91M
Holstein Kiel;£6,59M;€7,66M
Houston Dynamo;£21,08M;€24,51M
Huddersfield Town;£5,56M;€6,54M
Huesca;£3,07M;€3,56M
Hull City;£6,43M;€7,57M
Huracán;£6,24M;€7,34M
Hvidovre IF;£1,98M;€2,33M
Hyderabad FC;£1M;€1,17M
Changchun Yatai;£4,98M;€5,86M
Charleroi;£7,18M;€8,45M
Charlotte FC;£27,05M;€31,44M
Charlton Athletic;£3,3M;€3,84M
Chaves;£2,54M;€2,96M
Chelsea;£143,85M;€169,27M
Cheltenham Town;£1,69M;€1,97M
Chennaiyin FC;£1,61M;€1,87M
Chicago Fire;£31,45M;€36,55M
IF Elfsborg;£3,08M;€3,58M
IFK Göteborg;£3,01M;€3,5M
IFK Norrköping;£4,68M;€5,44M
IFK Värnamo;£1,81M;€2,11M
IK Sirius;£1,76M;€2,04M
Independiente;£11,16M;€13,13M
Incheon United;£3,92M;€4,56M
Instituto;£3,75M;€4,41M
Inter;£81,41M;€94,64M
Inter Miami CF;£17,58M;€20,44M
Ipswich Town;£5,86M;€6,9M
Istanbul Başakşehir FK;£3,14M;€3,69M
İstanbulspor;£3,14M;€3,64M
Jagiellonia Białystok;£2,93M;€3,41M
Jahn Regensburg;£2,53M;€2,94M
Jamshedpur FC;£1,06M;€1,24M
Jeju United;£4,71M;€5,48M
Jeonbuk Hyundai Motors;£7,88M;€9,16M
Juventus;£135,83M;€157,89M
Kalmar FF;£1,76M;€2,05M
Karagumruk SK;£7,27M;€8,45M
Karlsruher SC;£4,34M;€5,04M
Kasımpaşa Istanbul;£4,09M;€4,76M
Kayserispor;£3,87M;€4,5M
Kerala Blasters;£1,96M;€2,28M
Kilmarnock;£1,8M;€2,09M
Konyaspor;£5,71M;€6,64M
Korona Kielce;£1,58M;€1,84M
Kortrijk;£5,52M;€6,49M
KV Westerlo;£4,35M;€5,12M
LA Galaxy;£25,98M;€30,2M
Lanús;£8,94M;€10,52M
Las Palmas;£8,36M;€9,72M
LASK;£9,88M;€11,63M
Lausanne-Sport;£3,9M;€4,54M
Lazio;£36,92M;€42,92M
Lecce;£8,93M;€10,38M
Leeds United;£35,02M;€41,2M
Leganés;£5M;€5,81M
Legia Warszawa;£5,05M;€5,87M
Lech Poznań;£5,61M;€6,52M
Leicester City;£48,26M;€56,78M
Leuven;£6,08M;€7,15M
Levante;£9,68M;€11,25M
Leyton Orient;£1,92M;€2,23M
Lillestrøm;£3,49M;€4,05M
Lincoln City;£2,29M;€2,66M
Liverpool;£155,87M;€183,41M
Livingston;£1,61M;€1,87M
LKS Lodz;£1,57M;€1,83M
Los Angeles FC;£26,16M;€30,41M
LOSC Lille;£21,71M;€25,24M
Luton Town;£16,57M;€19,49M
Lyngby BK;£2,1M;€2,47M
Macarthur FC;£2,94M;€3,46M
Mainz 05;£14,61M;€16,98M
Mallorca;£8,17M;€9,49M
Malmö FF;£7,95M;€9,24M
Manchester City;£243,16M;€286,12M
Manchester United;£227,86M;€268,13M
Mansfield Town;£2,81M;€3,27M
Mechelen;£6,22M;€7,32M
Meizhou Hakka;£2,76M;€3,24M
Melbourne City;£6,09M;€7,17M
Melbourne Victory;£4,42M;€5,2M
Metz;£8,9M;€10,34M
Middlesbrough;£12,27M;€14,44M
Milan;£75,84M;€88,16M
Millwall;£7,61M;€8,95M
Milton Keynes Dons;£2,69M;€3,12M
Minnesota United FC;£18,52M;€21,53M
Mirandés;£1,64M;€1,91M
Mjällby AI;£1,83M;€2,13M
MKE Ankaragücü;£5,41M;€6,29M
Molde;£5,94M;€6,9M
Molenbeek;£5,22M;€6,14M
Montpellier HSC;£13,83M;€16,08M
Monza;£22,33M;€25,96M
Morecambe;£1,55M;€1,81M
Moreirense;£3,92M;€4,56M
Motherwell;£1,93M;€2,24M
MSV Duisburg;£2,54M;€2,95M
Mumbai City FC;£2,9M;€3,37M
Nantong Zhiyun;£3,01M;€3,54M
Napoli;£55,63M;€64,66M
Nashville SC;£18,74M;€21,78M
NEC Nijmegen;£6,85M;€7,96M
New England Revolution;£19,54M;€22,71M
New York City FC;£20,72M;€24,09M
New York Red Bulls;£19M;€22,09M
Newcastle Jets;£1,97M;€2,31M
Newcastle United;£38,86M;€45,72M
Newell’s;£5,59M;€6,58M
Newport County;£1,32M;€1,53M
Northampton Town;£1,81M;€2,11M
Northeast United;£0,89M;€1,04M
Norwich;£17,39M;€20,46M
Nottingham Forest;£33,75M;€39,71M
Notts County;£2,41M;€2,8M
Odds BK;£2,36M;€2,75M
Odense BK;£3,68M;€4,33M
Odisha FC;£1,28M;€1,49M
OGC Nice;£26,56M;€30,87M
Olympique de Marseille;£41,86M;€48,66M
Olympique Lyonnais;£49,73M;€57,81M
Orlando City;£22,93M;€26,66M
Osasuna;£11,08M;€12,88M
Otelul Galati;£1,98M;€2,3M
Oxford United;£2,74M;€3,18M
Paris FC;£7,22M;€8,39M
Paris Saint-Germain;£224,99M;€261,54M
Pau FC;£3,34M;€3,88M
PEC Zwolle;£6,88M;€7,99M
Pendikspor;£3,26M;€3,79M
Perth Glory;£3,16M;€3,71M
Peterborough;£3,32M;€3,86M
PGE Stal Mielec;£1,41M;€1,64M
Philadelphia Union;£19,46M;€22,62M
Piast Gliwice;£2,95M;€3,43M
Platense;£3,69M;€4,34M
Plymouth Argyle;£3,02M;€3,55M
Pogoń Szczecin;£3,46M;€4,02M
Pohang Steelers;£3,16M;€3,67M
Politehnica Iasi;£1,57M;€1,83M
Port Vale;£2,07M;€2,41M
Portimonense;£4,16M;€4,83M
Portland Timbers;£28,06M;€32,62M
Portsmouth;£2,76M;€3,21M
Preston North End;£8,53M;€10,03M
Preuben Munster;£1,79M;€2,07M
PSV;£26,22M;€30,47M
Punjab FC;£1,01M;€1,17M
Puszcza;£1,83M;€2,12M
Queens Park Rangers;£6,13M;€7,22M
Quevilly-Rouen;£2,91M;€3,39M
Quingdao Hainiu;£3,26M;€3,84M
R.S.C Anderlecht;£19,62M;€23,09M
Racing Club;£11,68M;€13,74M
Racing Club de Lens;£21,37M;€24,85M
Racing de Ferrol;£1,69M;€1,97M
Racing Santander;£2,7M;€3,14M
Radomiak Radom;£2,09M;€2,42M
Raków Częstochowa;£5,79M;€6,73M
Randers FC;£4,23M;€4,98M
Rangers;£22,34M;€25,97M
Rapid București;£2,84M;€3,3M
Rayo Vallecano;£8,07M;€9,38M
RB Leipzig;£77,94M;€90,6M
RC Strasbourg Alsace;£14,59M;€16,96M
Reading;£2,21M;€2,57M
Real Betis;£20,29M;€23,58M
Real Madrid;£182,9M;€212,61M
Real Oviedo;£3,13M;€3,64M
Real Salt Lake;£16,56M;€19,25M
Real Sociedad;£21,46M;€24,95M
Rio Ave;£4,92M;€5,71M
River Plate;£18,44M;€21,69M
RKC Waalwijk;£4,52M;€5,26M
Rodez Averyron;£3,07M;€3,57M
Rongcheng FC;£4,37M;€5,14M
Rosario Central;£5,79M;€6,81M
Rosenborg;£7,05M;€8,19M
Ross County;£1,8M;€2,09M
Rotherham United;£3,34M;€3,92M
Rot-Weiss Essen;£2,25M;€2,61M
Royal Antwerp;£22,56M;€26,55M
Ruch Chorzow;£2,01M;€2,33M
Saarbrucken;£2,41M;€2,8M
Salernitana;£15,4M;€17,9M
Salford City;£2,62M;€3,04M
Samsunspor;£4,26M;€4,95M
San Jose Earthquakes;£24,06M;€27,97M
San Lorenzo;£8,4M;€9,89M
Sandefjord;£1,73M;€2,01M
Sarmiento;£2,94M;€3,46M
Sarpsborg 08;£2,89M;€3,36M
Sassuolo;£12,58M;€14,62M
SC Bastia;£3,39M;€3,94M
SC Freiburg;£22,68M;€26,36M
SC Freiburg II;£2,01M;€2,34M
SC Heerenveen;£5,01M;€5,82M
SC Paderborn;£7,13M;€8,29M
SC Verl;£1,14M;€1,33M
SCR Altach;£2,87M;€3,37M
Seattle Sounders FC;£37,64M;€44,29M
Sepsi Sfântu Gheorghe;£3,28M;€3,82M
Servette FC;£6,16M;€7,15M
Sevilla;£39,8M;€46,27M
Shamrock Rovers;£1,1M;€1,28M
Shandong Luneng Taishan;£6,55M;€7,71M
Shanghai Greenland Shenhua;£5,14M;€6,05M
Shanghai Port;£9,91M;€11,66M
Sheffield United;£17,45M;€20,53M
Sheffield Wednesday;£5,76M;€6,77M
Shelbourne;£0,63M;€0,73M
Shenzhen FC;£3,12M;€3,67M
Shrewsbury Town;£2,07M;€2,4M
Silkeborg IF;£3,7M;€4,36M
Sint-Truiden;£5,17M;€6,08M
Sivasspor;£5,25M;€6,11M
SK Brann;£3,38M;€3,93M
SK Rapid Wien;£9,48M;€11,16M
SK Sturm Graz;£8,7M;€10,24M
SL Benfica;£28,43M;€33,05M
Sligo Rovers;£0,69M;€0,81M
SM Caen;£6,96M;€8,08M
Southampton;£35,6M;€41,89M
Sparta Rotterdam;£6,36M;€7,4M
Sporting;£21,51M;€25M
Sporting de Braga;£15,28M;€17,76M
Sporting de Gijón;£5,5M;€6,39M
Sporting Kansas City;£21,09M;€24,52M
SSV Ulm 1846;£1,34M;€1,55M
St Johnstone;£1,77M;€2,05M
St Louis City FC;£26,22M;€30,47M
St Mirren;£1,78M;€2,07M
St Patrick’s Athletic;£0,88M;€1,02M
Stabaek Fotball;£1,69M;€1,96M
Stade Brestois 29;£11,12M;€12,93M
Stade de Reims;£14,77M;€17,17M
Stade Lavallois;£3,87M;€4,49M
Stade Rennais FC;£27,37M;€31,81M
Stade-Lausanne;£2,49M;€2,89M
Standard Liège;£11,84M;€13,93M
Stevenage;£1,76M;€2,04M
Stockport;£2,97M;€3,45M
Stoke City;£7,61M;€8,95M
Strømsgodset;£2,52M;€2,93M
Sunderland;£7,42M;€8,73M
Sutton United;£1,62M;€1,88M
Suwon FC;£3,87M;€4,5M
Suwon Samsung Bluewings;£3,09M;€3,59M
SV Elversberg;£2,82M;€3,28M
SV Sandhausen;£3,37M;€3,92M
SV Waldhof Mannheim;£1,81M;€2,1M
SV Werder Bremen;£15,72M;€18,27M
Swansea City;£11,45M;€13,47M
Swindon Town;£1,71M;€1,99M
Sydney FC;£4,64M;€5,46M
Talleres;£6,87M;€8,08M
Tenerife;£3,95M;€4,59M
Tianjin TEDA;£2,47M;€2,9M
Tigre;£4,17M;€4,91M
Torino;£18,91M;€21,98M
Toronto FC;£22,26M;€25,87M
Tottenham;£108,77M;€127,99M
Toulouse FC;£11,95M;€13,89M
Trabzonspor;£21,49M;€24,98M
Tranmere Rovers;£2,05M;€2,39M
Tromsø;£1,93M;€2,25M
TSG Hoffenheim;£37,09M;€43,11M
TSV Hartberg;£2,85M;€3,36M
Twente;£8,72M;€10,13M
UCD AFC;£0,63M;€0,74M
UD Almería;£14,71M;€17,1M
Udinese;£13,7M;€15,92M
Ulsan Hyundai;£9,02M;€10,48M
Unión;£5,4M;€6,36M
Union Berlin;£19,59M;€22,77M
Union SG;£10,35M;€12,17M
Universitatea Cluj;£1,79M;€2,08M
Universitatea Craiova;£4,06M;€4,72M
Unterhaching;£1,41M;€1,64M
US Concarneau;£2,27M;€2,64M
USL Dunkerque;£2,89M;€3,35M
UTA Arad;£1,9M;€2,21M
Valencia;£57,14M;€66,42M
Valenciennes;£3,62M;€4,2M
Vålerenga;£4,18M;€4,86M
Valladolid;£5,07M;€5,89M
Vancouver Whitecaps FC;£24,2M;€28,13M
Varberg;£1,67M;€1,94M
Vejle Boldklub;£2,08M;€2,45M
Vélez Sarsfield;£9,36M;€11,01M
VFB Lubeck;£1,8M;€2,09M
VfB Stuttgart;£22,15M;€25,74M
VfL Bochum;£10,49M;€12,2M
VfL Osnabrück;£3,67M;€4,27M
VfL Wolfsburg;£43,4M;€50,44M
Viborg FF;£3,17M;€3,73M
Viitorul Constanța;£3,16M;€3,68M
Viking;£2,96M;€3,44M
Viktoria Koln;£2,43M;€2,82M
Villareal;£37,02M;€43,03M
Villarreal B;£1,78M;€2,07M
Vitesse;£7,99M;€9,29M
Vitória de Guimarães;£6,59M;€7,66M
Vizela;£2,18M;€2,53M
Voluntari;£2,69M;€3,12M
Walsall;£1,77M;€2,06M
Warta Poznań;£1,25M;€1,45M
Watford;£18,96M;€22,31M
Wehen Wiesbaden;£4,78M;€5,56M
Wellington Phoenix;£2,19M;€2,58M
West Bromwich Albion;£16,8M;€19,77M
West Ham;£62,45M;€73,48M
Western Sydney Wanderers;£1,84M;€2,17M
Western United;£2,9M;€3,41M
Widzew Łódź;£2,01M;€2,34M
Wigan Athletic;£4,18M;€4,85M
Wisła KrakówŚląsk Wrocław;£2,79M;€3,24M
Wolfsberger AC;£4,15M;€4,88M
Wolverhampton;£50,18M;€59,04M
Wrexham AFC;£3,17M;€3,68M
WSG Tirol;£3,03M;€3,57M
Wuhan 3 Towns;£6,79M;€7,99M
Wycombe Wanderers;£2,39M;€2,78M
Yverdon Sport;£2,01M;€2,33M
Zagłębie Lubin;£3,69M;€4,29M
Zaragoza;£3,72M;€4,32M
Zhejiang Pro;£3,2M;€3,76M
